policy,threads,chunk,trial,rank,rows,escape_iterations
guided,4,1,3,1,152,109346892
guided,4,1,3,2,114,38399034
guided,4,1,3,3,611,4858201
guided,4,16,1,0,152,109346892
guided,4,16,1,1,114,38399034
guided,4,16,1,2,203,50512752
guided,4,16,1,3,611,4858201
guided,4,16,2,0,152,109346892
guided,4,16,2,1,203,50512752
guided,4,16,2,2,114,38399034
guided,4,16,2,3,611,4858201
guided,4,16,3,0,152,109346892
guided,4,16,3,1,114,38399034
guided,4,16,3,2,203,50512752
guided,4,16,3,3,611,4858201
guided,4,64,1,0,152,109346892
guided,4,64,1,1,203,50512752
guided,4,64,1,2,114,38399034
guided,4,64,1,3,611,4858201
guided,4,64,2,0,114,38399034
guided,4,64,2,1,152,109346892
guided,4,64,2,2,203,50512752
guided,4,64,2,3,611,4858201
guided,4,64,3,0,203,50512752
guided,4,64,3,1,152,109346892
guided,4,64,3,2,114,38399034
guided,4,64,3,3,611,4858201
guided,4,256,1,0,256,88841267
guided,4,256,1,1,256,112214723
guided,4,256,1,2,256,1020450
guided,4,256,1,3,312,1040439
guided,4,256,2,0,256,112214723
guided,4,256,2,1,256,1020450
guided,4,256,2,2,256,88841267
guided,4,256,2,3,312,1040439
guided,4,256,3,0,256,112214723
guided,4,256,3,1,256,88841267
guided,4,256,3,2,256,1020450
guided,4,256,3,3,312,1040439
guided,8,1,1,0,53,19567376
guided,8,1,1,1,69,53043797
guided,8,1,1,2,441,2503492
guided,8,1,1,3,61,32622015
guided,8,1,1,4,104,4554801
guided,8,1,1,5,79,52730717
guided,8,1,1,6,91,33246295
guided,8,1,1,7,182,4848386
guided,8,1,2,0,441,2503492
guided,8,1,2,1,53,19567376
guided,8,1,2,2,79,52730717
guided,8,1,2,3,69,53043797
guided,8,1,2,4,61,32622015
guided,8,1,2,5,104,4554801
guided,8,1,2,6,91,33246295
guided,8,1,2,7,182,4848386
